2018-11-04 12:56:41.8573| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:56:41.8573| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:56:45.6374| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:56:45.6374| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:56:45.6374| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:56:45.6374| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:56:45.6374| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980
2018-11-04 12:56:45.6374| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.bead6a7d-7814-42e3-9e86-30ecdb1c4980
2018-11-04 12:56:45.6823| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:56:45.6823| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:57:10.0133| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:10.0133| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:30.5285| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-04 12:57:30.5285| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-04 12:57:30.6761| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:30.6761| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:30.7080| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:57:30.7080| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:57:30.7320| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:57:30.7320| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:57:30.9696| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:57:30.9696| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:57:30.9825| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.2c1597d2-e3fe-4800-a9be-08966932743a', class=WebApi.Cron.CronTareaHora
2018-11-04 12:57:30.9825| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.2c1597d2-e3fe-4800-a9be-08966932743a', class=WebApi.Cron.CronTareaHora
2018-11-04 12:57:30.9825| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268
2018-11-04 12:57:30.9825| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268
2018-11-04 12:57:30.9955| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.2c1597d2-e3fe-4800-a9be-08966932743a
2018-11-04 12:57:30.9955| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.2c1597d2-e3fe-4800-a9be-08966932743a
2018-11-04 12:57:31.0315| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:57:31.0315| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:57:30.9825| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:30.9825| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:34.6762| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:57:34.6762| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:57:56.7711| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:57:56.7711| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:58:25.9558| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:58:25.9558| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 12:58:30.6579| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:58:30.6579| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268', class=WebApi.Cron.CronTareaMinuto
2018-11-04 12:58:30.6738| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:58:30.6738| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 12:58:30.6738| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268
2018-11-04 12:58:30.6738| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.a651ac1f-a7cb-424e-a71a-72c075da1268
2018-11-04 12:58:30.7087| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 12:58:30.7087| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:03:54.6969| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
