2018-11-07 11:13:42.5722| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\20.mp3'.
2018-11-07 11:13:42.5722| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\20.mp3'.
2018-11-07 12:32:51.9233| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 12:32:51.9233| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 12:39:33.0659| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 12:39:33.0659| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 12:41:40.8497| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 12:41:40.8497| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 19:53:30.8363| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 19:53:30.8363| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 19:54:34.9561| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
2018-11-07 19:54:34.9561| Error | WebApi.Servicios.TranscripcionesService.RecibirFicheroATranscribir | No se puede encontrar una parte de la ruta de acceso 'E:\Vocali\Github\EjercicioSeleccionDesarrollo2\WebApi\App_Data\UploadMp3\1.mp3'.
