2018-11-02 14:04:01.0812| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.e76d44f7-aa63-4c26-902a-fcc192418611
2018-11-02 14:04:01.1196| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:04:01.1196| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:04:29.5954| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:04:29.5954| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:04:57.2416| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:04:57.2416| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:05:01.0654| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.e76d44f7-aa63-4c26-902a-fcc192418611', class=WebApiCrud.Controllers.TareaMinuto
2018-11-02 14:05:01.0654| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.e76d44f7-aa63-4c26-902a-fcc192418611', class=WebApiCrud.Controllers.TareaMinuto
2018-11-02 14:05:01.0754| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:05:01.0754| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:05:01.0754| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.e76d44f7-aa63-4c26-902a-fcc192418611
2018-11-02 14:05:01.0754| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.e76d44f7-aa63-4c26-902a-fcc192418611
2018-11-02 14:05:01.0934| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:05:01.0934| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:05:28.4786| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:05:28.4786| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:30:10.4632| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 14:30:10.4632| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 14:30:10.7187| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:30:10.7187| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:30:10.7468| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:30:10.7468| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
